"","id","company_final"
"293",293,"mercury"
"294",294,"statestreet"
"295",295,"cem"
"296",296,"mvc architecture"
"297",297,"mindteck pte"
"298",298,"hp"
"299",299,"ibm"
"300",300,"lowe's"
"301",301,"pacific gas"
"302",302,NA
"303",303,"asu"
"304",304,"red hat"
"305",305,"red hat"
"306",306,"department of computer"
"307",307,"ibm"
"308",308,"verizon"
"309",309,"department of computer"
"310",310,"chicago mercantile"
"311",311,"free code"
"312",312,NA
"313",313,"google"
"314",314,"intel"
"315",315,"red hat"
"316",316,"intel"
"317",317,"private -bank"
"318",318,"oracle"
"319",319,"fusemachines"
"320",320,"intel"
"321",321,"intel"
"322",322,"intel"
"323",323,NA
"324",324,"freelance"
"325",325,"asu"
"326",326,"wells fargo"
"327",327,"jpmorganchase"
"328",328,"jpmorganchase"
"329",329,"orane consulting"
"330",330,NA
"331",331,"ibm"
"332",332,"hp"
"333",333,"san antonio"
"334",334,NA
"335",335,"microsoft"
"336",336,"ibm"
"337",337,"webfaction"
"338",338,"university of colorado"
"339",339,NA
"340",340,"hp"
"341",341,NA
"342",342,NA
"343",343,"intel"
"344",344,"economic, financial,"
"345",345,NA
"346",346,"centurylink communications"
"347",347,"intel"
"348",348,NA
"349",349,"jp morgan"
"350",350,"intel"
"351",351,"method to"
"352",352,"freddie mac"
"353",353,"united guaranty"
"354",354,NA
"355",355,"intel"
"356",356,"intel"
"357",357,"intel"
"358",358,"unisys"
"359",359,"porch"
"360",360,"simpleray"
"361",361,"central michigan"
"362",362,"ibm"
"363",363,"hp"
"364",364,"hp"
"365",365,"cisco"
"366",366,"barclays"
"367",367,"sephora inc"
"368",368,"minacs"
"369",369,"ibm"
"370",370,"atrium medical"
"371",371,NA
"372",372,NA
"373",373,NA
"374",374,NA
"375",375,NA
"376",376,NA
"377",377,NA
"378",378,NA
"379",379,NA
"380",380,NA
"381",381,NA
"382",382,NA
"383",383,"microsoft"
"384",384,"payless shoesource"
"385",385,"intel"
"386",386,"infosys ltd"
"387",387,"ucsb earth"
"388",388,NA
"389",389,NA
"390",390,NA
"391",391,"ibm"
"392",392,"oracle"
"393",393,"epam empathy"
"394",394,"self-employed"
"395",395,"ibm"
"396",396,"scholastic inc"
"397",397,"center for"
"398",398,"intel"
"399",399,"devops engineer"
"400",400,"daegis inc"
"401",401,NA
"402",402,"visa"
"403",403,"efocus-webs project"
"404",404,"self-employed"
"405",405,"cisco"
"406",406,"citizen's bank"
"407",407,"hp"
"408",408,"pfizer"
"409",409,"supreme court"
"410",410,NA
"411",411,"state street"
"412",412,NA
"413",413,"cem"
"414",414,"state of wisconsin"
"415",415,"ibm"
"416",416,"rutgers university,"
"417",417,"mvc architecture"
"418",418,NA
"419",419,"verizon"
"420",420,"zappos.com, inc"
"421",421,NA
"422",422,"bofa"
"423",423,"salesfusion inc"
"424",424,"hp"
"425",425,"john deere"
"426",426,"mayo clinic"
"427",427,"key bank"
"428",428,"jlg industries"
"429",429,"microsoft"
"430",430,NA
"431",431,"oracle"
"432",432,"fusion alliance"
"433",433,"ibm"
"434",434,"microsoft"
"435",435,"demere.co"
"436",436,"oracle"
"437",437,NA
"438",438,NA
"439",439,"acenonyx"
"440",440,"asu"
"441",441,"oracle"
"442",442,"adp"
"443",443,NA
"444",444,"microsoft"
"445",445,"university of pittsburgh"
"446",446,"stanford university"
"447",447,"caci provide"
"448",448,"database security"
"449",449,NA
"450",450,"oracle"
"451",451,NA
"452",452,NA
"453",453,"columbia university"
"454",454,"ibm"
"455",455,"regenstrief institute,"
"456",456,"dell"
"457",457,"state of michigan"
"458",458,NA
"459",459,"reservoir labs"
"460",460,NA
"461",461,"us army"
"462",462,"hp"
"463",463,"asu"
"464",464,NA
"465",465,NA
"466",466,"brocade communications"
"467",467,"western digital"
"468",468,"dell"
"469",469,"intel"
"470",470,"symbiont"
"471",471,"microsoft"
"472",472,NA
"473",473,"department of computer"
"474",474,"hp"
"475",475,"cablevision"
"476",476,"wilbur ellis"
"477",477,"hp"
"478",478,"i, contract"
"479",479,"general dynamics"
"480",480,"hp"
"481",481,"intel"
"482",482,"comcast"
"483",483,"department of health"
"484",484,"barclays"
"485",485,NA
"486",486,"ibm"
"487",487,"linux professional"
"488",488,"hp"
"489",489,"netflix"
"490",490,NA
"491",491,"ibm"
"492",492,"google"
"493",493,NA
"494",494,"careday"
"495",495,"university of houston,"
"496",496,NA
"497",497,"emc"
"498",498,"nwa media"
"499",499,"ibm"
"500",500,NA
"501",501,"einstein"
"502",502,"ibm"
"503",503,"qa lead"
"504",504,NA
"505",505,NA
"506",506,"freelancing shoply"
"507",507,NA
"508",508,"federal reserve"
"509",509,"nordstrom"
"510",510,NA
"511",511,"lincoln financial"
"512",512,"firestone diversified"
"513",513,"microsoft"
"514",514,"freddie mac"
"515",515,"ibm"
"516",516,"hp"
"517",517,"worldquant, llc."
"518",518,"at&t"
"519",519,"hospira inc"
"520",520,"intel"
"521",521,"university of iowa"
"522",522,NA
"523",523,NA
"524",524,"healthways"
"525",525,NA
"526",526,"center for"
"527",527,"intel"
"528",528,NA
"529",529,"mvc architecture"
"530",530,"hp"
"531",531,NA
"532",532,"google"
"533",533,NA
"534",534,NA
"535",535,NA
"536",536,NA
"537",537,NA
"538",538,"hp"
"539",539,"visa"
"540",540,"mvc architecture"
"541",541,"macy's systems"
"542",542,"nike"
"543",543,"fresenius medical"
"544",544,"fresenius medical"
"545",545,NA
"546",546,"galvanize"
"547",547,NA
"548",548,NA
"549",549,"bedrockdata"
"550",550,"cox media"
"551",551,"google"
"552",552,NA
"553",553,"intel"
"554",554,"wells fargo"
"555",555,"cem"
"556",556,"hm health"
"557",557,"verizon"
"558",558,"opus inspection"
"559",559,"hsbc"
"560",560,"wells fargo"
"561",561,"mercury"
"562",562,"oracle"
"563",563,"intersect group"
"564",564,"cem"
"565",565,"oracle"
"566",566,"life lock"
"567",567,NA
"568",568,NA
"569",569,"home depot"
"570",570,NA
"571",571,"visa"
"572",572,"avaya"
"573",573,"ibm"
"574",574,"cim"
"575",575,"confidential"
"576",576,"ibm"
"577",577,"ibm"
"578",578,"ibm"
"579",579,NA
"580",580,"nationwide insurance"
"581",581,"ventyx"
"582",582,"ibm"
"583",583,"google"
"584",584,"hp"
"585",585,NA
"586",586,"cerner"
"587",587,NA
"588",588,NA
"589",589,NA
"590",590,NA
"591",591,"microsoft"
"592",592,NA
"593",593,NA
"594",594,"esri"
"595",595,NA
"596",596,"cem"
"597",597,"hp"
"598",598,"ibm"
"599",599,NA
"600",600,"lithium"
"601",601,NA
"602",602,NA
"603",603,"department of health"
"604",604,NA
"605",605,"otak, inc"
"606",606,"delta air"
"607",607,NA
"608",608,NA
"609",609,"microsoft"
"610",610,NA
"611",611,NA
"612",612,"pfizer"
"613",613,"characterization of lya"
"614",614,"amazon"
"615",615,"aws cloudfront,"
"616",616,"hp"
"617",617,"aig"
"618",618,"hp"
"619",619,"verizon"
"620",620,NA
"621",621,"educational software"
"622",622,NA
"623",623,"aig"
"624",624,NA
"625",625,"catalina marketing"
"626",626,"hp"
"627",627,"wells fargo,"
"628",628,"worker marshall"
"629",629,"deutsche bank"
"630",630,"mvc architecture"
"631",631,"state street"
"632",632,"miami rebel"
"633",633,"intel"
"634",634,"oracle"
"635",635,"ibm"
"636",636,"ibm"
"637",637,"infosys limited"
"638",638,"spirent"
"639",639,"cisco"
"640",640,"verizon"
"641",641,"mvc architecture"
"642",642,"samsung research"
"643",643,"google"
"644",644,"university of massachusetts"
"645",645,NA
"646",646,"intel"
"647",647,"verizon"
"648",648,"hp"
"649",649,"intel"
"650",650,"you-gene"
"651",651,NA
"652",652,NA
"653",653,"sap bi"
"654",654,NA
"655",655,"ibm"
"656",656,"cem"
"657",657,"intel"
"658",658,"mvc architecture"
"659",659,NA
"660",660,"wolters kluwer"
"661",661,"oracle"
"662",662,"citi"
"663",663,"soochow securities"
"664",664,NA
"665",665,"intel"
"666",666,"mvc architecture"
"667",667,"intersections, chantilly,"
"668",668,"hp"
"669",669,"oracle"
"670",670,"hyatt corporation"
"671",671,"center for"
"672",672,NA
"673",673,"sky touch"
"674",674,NA
"675",675,"verizon"
"676",676,"self employed"
"677",677,NA
"678",678,"hp"
"679",679,"u.s securities"
"680",680,NA
"681",681,"intercontinental hotels"
"682",682,NA
"683",683,"oracle"
"684",684,"wells fargo"
"685",685,"sprint nextel"
"686",686,"blue shield"
"687",687,"citi"
"688",688,"ibm"
"689",689,NA
"690",690,"jpmorgan chase"
"691",691,"human capital"
"692",692,NA
"693",693,"cem"
"694",694,"oracle"
"695",695,NA
"696",696,"sun edison"
"697",697,"hp"
"698",698,NA
"699",699,NA
"700",700,"wells fargo"
"701",701,"hp"
"702",702,"intel"
"703",703,NA
"704",704,NA
"705",705,"ibm"
"706",706,"bcbal responsible"
"707",707,"hp"
"708",708,NA
"709",709,"silvics solutions"
"710",710,"wyncode academy"
"711",711,"versify solutions"
"712",712,"wilmington, de"
"713",713,"university of washington"
"714",714,"cem"
"715",715,"oracle"
"716",716,"microsoft"
"717",717,"confidential"
"718",718,NA
"719",719,"google"
"720",720,"innutra inc"
"721",721,"sharp laboratories"
"722",722,"mvc architecture"
"723",723,"cem"
"724",724,"oracle"
"725",725,"cbs interactive"
"726",726,NA
"727",727,"qa101 consulting"
"728",728,"sr freddie"
"729",729,"lockheed martin"
"730",730,"icmarc"
"731",731,NA
"732",732,"cem"
"733",733,"amazon"
"734",734,"microsoft"
"735",735,"ibm"
"736",736,NA
"737",737,NA
"738",738,NA
"739",739,"microsoft"
"740",740,NA
"741",741,NA
"742",742,NA
"743",743,"ibm"
"744",744,NA
"745",745,"service control"
"746",746,"oracle"
"747",747,"nokia siemens"
"748",748,"oracle"
"749",749,"united services"
"750",750,"bcbs"
"751",751,NA
"752",752,"microsoft"
"753",753,NA
"754",754,"harley davidson-wi"
"755",755,"emc"
"756",756,"intel"
"757",757,"university of michigan"
"758",758,"asu"
"759",759,"bank of america"
"760",760,"blue shield"
"761",761,NA
"762",762,"verizon"
"763",763,"hm health"
"764",764,"cisco"
"765",765,NA
"766",766,"rockwell automation"
"767",767,"pyrotech engineers"
"768",768,"sing -post"
"769",769,"phelps dodge"
"770",770,NA
"771",771,NA
"772",772,NA
"773",773,NA
