"","company_final","Count"
"304","microsoft corporation,",1
"305","minacs",1
"306","mindteck pte",1
"307","minerva engineering",2
"308","mobiquity",1
"309","modern engineering",1
"310","morgan stanley",3
"311","motion welder",2
"312","motorola",2
"313","motorola mobility",1
"314","mvc architecture",52
"315","mylan",1
"316","nanodegree program",2
"317","national foreign",2
"318","national institute",1
"319","nationwide insurance",1
"320","nativo",1
"321","netflix",2
"322","newscred",2
"323","nexidia",1
"324","next phase",1
"325","nextern, inc",2
"326","nexxtep",1
"327","nike",1
"328","nokia",3
"329","nokia siemens",1
"330","nordstrom",1
"331","northeastern university",3
"332","northern arizona",3
"333","northern natural",1
"334","northrop grumman",1
"335","northwestern polytechnic",1
"336","nuance",3
"337","nwa media",1
"338","ny dep",1
"339","office of attorney",1
"340","onondaga county",1
"341","opus inspection",1
"342","oracle",78
"343","orane consulting",1
"344","otak, inc",1
"345","otsuka us",1
"346","otter products",1
"347","outerwall inc",1
"348","owen software",1
"349","oxagile",1
"350","pacific gas",3
"351","pagefair limited",1
"352","pakedge device",1
"353","paratus llc",1
"354","partners healthcare",2
"355","pathfinder development",1
"356","pathfinder energy",1
"357","paychex",2
"358","paychex inc",1
"359","payless shoesource",2
"360","pfizer",3
"361","phelps dodge",1
"362","pieriandx",2
"363","pinnacle group",1
"364","pivotal labs",2
"365","pnc bank",2
"366","ponomusic",1
"367","porch",1
"368","portnov computer",1
"369","prime international",2
"370","private -bank",1
"371","procter & gamble",1
"372","prodea systems",1
"373","professor department",2
"374","providence software",2
"375","psiber hris",1
"376","ptc",4
"377","pure storage",4
"378","pyrotech engineers",1
"379","qa lead",4
"380","qa101 consulting",1
"381","qilu security",1
"382","qualcomm",5
"383","qualcomm connected",1
"384","quantum spatial",1
"385","quicken loans",1
"386","quixey",2
"387","rackspace us",1
"388","raytheon",1
"389","razorfish health",1
"390","rbc financial",1
"391","red hat",13
"392","regenstrief institute,",1
"393","reingold, inc.",1
"394","repiscore, inc",1
"395","replicon software",1
"396","republic services",2
"397","reservoir labs",1
"398","revolveclothing",2
"399","rioseo",1
"400","rj lee",1
"401","rochester institute",2
"402","rocket fuel",2
"403","rockwell automation",3
"404","rolls-royce",1
"405","royal bank",1
"406","rr donnelley",1
"407","rutgers university,",4
"408","s3 group ",1
"409","safeguard properties,",1
"410","salesfusion inc",1
"411","samsung electronics",2
"412","samsung research",2
"413","san antonio",9
"414","sap bi",1
"415","sap labs",1
"416","schneider electric",1
"417","scholastic inc",1
"418","school of education",1
"419","sciquest",2
"420","seagate llc",1
"421","searchforce inc.",2
"422","selective insurance",1
"423","self-employed",11
"424","self employed",8
"425","sephora inc",1
"426","service control",1
"427","shapiro +",1
"428","sharp laboratories",1
"429","shoppable",1
"430","silvics solutions",1
"431","simpleray",1
"432","sing -post",1
